,Pitcher,Primary Pitches,Secondary Pitches,Primary,Secondary,H-Mov,V-Mov,RelHei,RelSide,RelHei Diff,RelSide Diff,H-Mov Diff,V-Mov Diff,MPH Diff,RPM Diff,VAA Diff,HAA Diff,Spin Degree Diff,Usage Rate,Chase Rate,Zone Whiff Rate,Called Strike Rate,wOBAcon
0,Abbott Cory,"2    118.0
Name: Pitches, dtype: float64",62.0, FF, SL,"2   -11.9
Name:  H-Mov, dtype: float64","2    16.5
Name:  V-Mov, dtype: float64","2    5.5
Name: V-Rel Pt, dtype: float64","2   -2.6
Name: H-Rel Pt, dtype: float64",17.8,9.4,2.5,12.2,4.699999999999989,122.0,2.7,0.3999999999999999,,21.6,28.1,36.7,9.7,0.375
1,Abreu Albert,"6    250.0
Name: Pitches, dtype: float64",176.0, SI, SL,"6   -15.0
Name:  H-Mov, dtype: float64","6    12.7
Name:  V-Mov, dtype: float64","6    5.7
Name: V-Rel Pt, dtype: float64","6   -1.8
Name: H-Rel Pt, dtype: float64",20.7,12.9,17.4,7.3999999999999995,9.900000000000006,76.0,2.4000000000000004,2.8,30.799999999999997,31.1,23.2,52.9,10.2,0.214
2,Abreu Albert,"6    250.0
Name: Pitches, dtype: float64",134.0, SI, FF,"6   -15.0
Name:  H-Mov, dtype: float64","6    12.7
Name:  V-Mov, dtype: float64","6    5.7
Name: V-Rel Pt, dtype: float64","6   -1.8
Name: H-Rel Pt, dtype: float64",20.7,13.2,3.0999999999999996,2.6000000000000014,0.5,3.0,0.2999999999999998,0.5,9.8,19.9,20.9,41.8,20.1,0.364
3,Abreu Albert,"6    250.0
Name: Pitches, dtype: float64",67.0, SI, CH,"6   -15.0
Name:  H-Mov, dtype: float64","6    12.7
Name:  V-Mov, dtype: float64","6    5.7
Name: V-Rel Pt, dtype: float64","6   -1.8
Name: H-Rel Pt, dtype: float64",20.7,13.1,1.6000000000000014,3.8999999999999986,10.5,278.0,1.4000000000000004,0.1,7.3,13.6,31.8,47.8,13.4,0.69
4,Abreu Bryan,"10    340.0
Name: Pitches, dtype: float64",335.0, FF, SL,"10   -6.2
Name:  H-Mov, dtype: float64","10    17.1
Name:  V-Mov, dtype: float64","10    5.8
Name: V-Rel Pt, dtype: float64","10   -1.8
Name: H-Rel Pt, dtype: float64",12.0,4.0,13.7,20.3,8.700000000000003,423.0,3.5,2.2,14.799999999999999,42.9,40.7,54.4,15.5,0.348
5,Acevedo Domingo,"13    294.0
Name: Pitches, dtype: float64",232.0, FF, SL,"13   -13.3
Name:  H-Mov, dtype: float64","13    13.5
Name:  V-Mov, dtype: float64","13    5.4
Name: V-Rel Pt, dtype: float64","13   -1.9
Name: H-Rel Pt, dtype: float64",18.8,11.100000000000001,6.4,6.4,6.5,20.0,2.3000000000000007,1.5000000000000002,16.3,31.2,38.1,43.0,8.6,0.303
6,Acevedo Domingo,"13    294.0
Name: Pitches, dtype: float64",182.0, FF, CH,"13   -13.3
Name:  H-Mov, dtype: float64","13    13.5
Name:  V-Mov, dtype: float64","13    5.4
Name: V-Rel Pt, dtype: float64","13   -1.9
Name: H-Rel Pt, dtype: float64",18.9,11.4,4.599999999999998,10.2,6.200000000000003,259.0,2.7,0.49999999999999994,3.1000000000000005,24.1,42.0,36.2,9.9,0.218
7,Adam Jason,"19    222.0
Name: Pitches, dtype: float64",216.0, SL, CH,"19    12.3
Name:  H-Mov, dtype: float64","19   -1.6
Name:  V-Mov, dtype: float64","19    5.9
Name: V-Rel Pt, dtype: float64","19   -1.7
Name: H-Rel Pt, dtype: float64",6.300000000000001,14.0,28.8,3.4000000000000004,8.299999999999997,708.0,0.6999999999999993,3.4,10.5,21.3,38.5,47.4,14.8,0.196
8,Adam Jason,"19    222.0
Name: Pitches, dtype: float64",212.0, SL, FF,"19    12.3
Name:  H-Mov, dtype: float64","19   -1.6
Name:  V-Mov, dtype: float64","19    5.9
Name: V-Rel Pt, dtype: float64","19   -1.7
Name: H-Rel Pt, dtype: float64",6.500000000000001,14.0,19.700000000000003,19.1,13.299999999999997,60.0,3.8999999999999995,2.3,12.200000000000001,47.1,27.2,41.1,13.2,0.315
9,Adon Joan,"24    787.0
Name: Pitches, dtype: float64",279.0, FF, CU,"24   -10.6
Name:  H-Mov, dtype: float64","24    15.0
Name:  V-Mov, dtype: float64","24    6.0
Name: V-Rel Pt, dtype: float64","24   -2.5
Name: H-Rel Pt, dtype: float64",16.7,7.8999999999999995,18.4,25.2,15.299999999999997,76.0,4.7,2.3,8.3,21.5,24.0,37.0,11.5,0.41
