,,,,Pitches ,Zone,Swing,Contact,SwStr,CallStr,Foul,CSW,Whiff/Sw ,F-Strk,Putaway,Heart,Shadow,Chase,Waste
"Rodón, Carlos's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,757,100.0%,69.6%,55.6%,16.0%,26.9%,31.6%,42.9%,23.0%,20.6%,43.6%,51.8%,75.8%,0.0%,0.0%
"Gilbert, Logan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,714,100.0%,75.2%,62.6%,15.4%,21.6%,34.3%,37.0%,20.5%,23.8%,34.9%,50.0%,74.1%,0.0%,0.0%
"Manaea, Sean's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,659,100.0%,69.5%,58.0%,13.5%,25.2%,30.8%,38.7%,19.4%,22.3%,40.8%,50.1%,80.3%,0.0%,0.0%
"Gausman, Kevin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,636,100.0%,69.0%,60.1%,10.4%,28.9%,34.1%,39.3%,15.0%,26.9%,23.6%,53.8%,68.2%,0.0%,0.0%
"Cole, Gerrit's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,635,100.0%,62.2%,48.0%,18.4%,35.6%,26.8%,54.0%,29.6%,20.3%,50.8%,46.6%,82.7%,0.0%,0.0%
"Valdez, Framber's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,629,100.0%,62.6%,56.9%,6.7%,31.8%,25.1%,38.5%,10.7%,21.1%,20.0%,49.9%,75.0%,0.0%,0.0%
"Strider, Spencer's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,623,100.0%,71.4%,56.3%,17.8%,24.1%,33.2%,41.9%,24.9%,16.7%,43.8%,51.0%,77.5%,0.0%,0.0%
"McKenzie, Triston's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,618,100.0%,71.7%,61.5%,12.9%,25.2%,32.7%,38.2%,18.1%,22.2%,34.5%,50.6%,72.8%,0.0%,0.0%
"Burnes, Corbin's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,615,100.0%,63.3%,50.7%,13.7%,32.7%,24.4%,46.3%,21.6%,18.9%,52.1%,47.8%,88.5%,0.0%,0.0%
"Urquidy, José's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,605,100.0%,75.7%,66.9%,11.6%,22.0%,36.5%,33.6%,15.3%,21.0%,27.4%,53.9%,71.7%,0.0%,0.0%
"Pivetta, Nick's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,600,100.0%,67.8%,59.3%,10.8%,30.3%,31.3%,41.2%,16.0%,22.2%,38.4%,48.2%,76.2%,0.0%,0.0%
"Javier, Cristian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,566,100.0%,78.1%,61.0%,18.9%,19.1%,36.0%,38.0%,24.2%,13.3%,45.3%,47.9%,79.7%,0.0%,0.0%
"Steele, Justin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,565,100.0%,68.5%,60.0%,10.4%,28.1%,31.3%,38.6%,15.2%,22.5%,31.5%,51.2%,74.3%,0.0%,0.0%
"Ryan, Joe's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,555,100.0%,71.0%,57.8%,16.4%,26.7%,30.8%,43.1%,23.1%,20.9%,35.2%,48.1%,79.8%,0.0%,0.0%
"Verlander, Justin's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,539,100.0%,78.3%,68.6%,11.5%,19.5%,37.5%,31.0%,14.7%,20.4%,26.0%,50.5%,81.3%,0.0%,0.0%
"Mahle, Tyler's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,533,100.0%,64.2%,51.4%,15.2%,31.9%,28.5%,47.1%,23.7%,21.6%,50.3%,46.9%,87.6%,0.0%,0.0%
"Kopech, Michael's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,532,100.0%,61.7%,50.0%,13.0%,34.0%,26.9%,47.0%,21.0%,19.7%,42.2%,51.1%,78.8%,0.0%,0.0%
"Wood, Alex's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,514,100.0%,63.4%,51.2%,14.2%,31.7%,27.4%,45.9%,22.4%,22.4%,38.0%,49.8%,79.8%,0.0%,0.0%
"Wheeler, Zack's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,508,100.0%,67.5%,52.2%,17.9%,29.5%,28.3%,47.4%,26.5%,25.6%,43.0%,54.3%,71.3%,0.0%,0.0%
"Greene, Hunter's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,503,100.0%,73.0%,59.0%,16.1%,22.9%,33.8%,39.0%,22.1%,20.5%,42.7%,50.7%,83.7%,0.0%,0.0%
"Ray, Robbie's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,498,100.0%,75.7%,61.0%,18.7%,21.5%,32.1%,40.2%,24.7%,23.3%,49.6%,48.4%,78.5%,0.0%,0.0%
"Rogers, Trevor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,495,100.0%,67.9%,57.2%,14.9%,27.5%,29.7%,42.4%,22.0%,20.6%,32.2%,49.7%,78.2%,0.0%,0.0%
"Singer, Brady's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,491,100.0%,53.6%,48.7%,5.7%,40.3%,21.0%,46.0%,10.6%,19.3%,40.7%,52.1%,79.6%,0.0%,0.0%
"Urías, Julio's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,489,100.0%,72.6%,61.3%,13.7%,24.5%,32.5%,38.2%,18.9%,22.5%,52.3%,48.1%,78.3%,0.0%,0.0%
"López, Pablo's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,486,100.0%,64.2%,53.9%,12.6%,33.3%,27.8%,45.9%,19.6%,24.1%,37.2%,52.9%,72.0%,0.0%,0.0%
"Gallen, Zac's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,483,100.0%,58.2%,50.9%,8.5%,38.3%,29.0%,46.8%,14.6%,24.4%,41.9%,50.3%,83.6%,0.0%,0.0%
"Gray, Jon's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,477,100.0%,65.4%,55.6%,10.7%,30.6%,28.3%,41.3%,16.3%,22.0%,36.2%,49.9%,79.7%,0.0%,0.0%
"Giolito, Lucas's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,471,100.0%,59.9%,53.5%,7.6%,35.9%,28.7%,43.5%,12.8%,26.5%,41.2%,51.2%,72.4%,0.0%,0.0%
"García, Luis (HOU)'s FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,467,100.0%,71.9%,61.9%,11.3%,25.7%,33.8%,37.0%,15.8%,19.5%,34.0%,57.4%,69.2%,0.0%,0.0%
"Webb, Logan's SI",3065 pitches for 778 pitchers,Sinker (SI/FT),Pitcher Pitch,458,100.0%,55.5%,48.7%,7.4%,41.5%,19.4%,48.9%,13.4%,33.0%,35.4%,53.1%,70.1%,0.0%,0.0%
"Manoah, Alek's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,457,100.0%,73.7%,58.4%,17.9%,22.1%,32.2%,40.0%,24.3%,23.4%,42.0%,53.2%,66.7%,0.0%,0.0%
"Darvish, Yu's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,453,100.0%,59.2%,49.7%,10.2%,36.9%,24.7%,47.0%,17.2%,31.3%,45.2%,50.1%,72.8%,0.0%,0.0%
"Adon, Joan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,450,100.0%,62.9%,56.0%,8.2%,31.1%,28.7%,39.3%,13.1%,21.3%,32.3%,52.0%,75.1%,0.0%,0.0%
"Anderson, Ian's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,442,100.0%,67.2%,57.9%,10.6%,29.4%,26.5%,40.0%,15.8%,24.2%,27.6%,50.0%,85.1%,0.0%,0.0%
"Pallante, Andre's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,441,100.0%,64.9%,59.0%,6.3%,29.7%,26.3%,36.1%,9.8%,22.4%,25.8%,51.7%,76.0%,0.0%,0.0%
"Senzatela, Antonio's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,440,100.0%,69.3%,62.7%,7.3%,26.8%,29.5%,34.1%,10.5%,22.3%,17.8%,55.2%,71.6%,0.0%,0.0%
"Cortes Jr., Néstor's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,436,100.0%,69.3%,56.2%,15.1%,27.1%,30.7%,42.2%,21.9%,22.2%,43.2%,47.0%,82.3%,0.0%,0.0%
"Lyles, Jordan's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,435,100.0%,67.8%,59.8%,10.1%,29.9%,27.6%,40.0%,14.9%,22.1%,29.3%,51.5%,71.0%,0.0%,0.0%
"Bumgarner, Madison's FC",3065 pitches for 778 pitchers,Cutter (FC),Pitcher Pitch,433,100.0%,78.5%,68.8%,10.2%,19.2%,34.4%,29.3%,12.9%,11.8%,32.8%,51.0%,82.0%,0.0%,0.0%
"Bubic, Kris's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,429,100.0%,68.5%,58.7%,11.9%,26.8%,29.8%,38.7%,17.3%,15.9%,31.8%,48.5%,80.9%,0.0%,0.0%
"Lauer, Eric's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,428,100.0%,69.6%,55.8%,18.2%,25.7%,32.5%,43.9%,26.2%,18.2%,43.9%,52.3%,82.5%,0.0%,0.0%
"Nola, Aaron's FF",3065 pitches for 778 pitchers,Four-seamer (FF),Pitcher Pitch,423,100.0%,64.8%,53.4%,13.9%,32.2%,31.2%,46.1%,21.5%,26.5%,46.3%,48.7%,82.5%,0.0%,0.0%
