Pitcher,Primary,Secondary,Chase Rate,xChase Rate
Abbott Cory, FF, SL,28.1,28.521208
Abreu Albert, SI, SL,23.2,23.695234
Abreu Albert, SI, FF,20.9,20.795542
Abreu Albert, SI, CH,31.8,32.08505
Abreu Bryan, FF, SL,40.7,40.833492
Acevedo Domingo, FF, SL,38.1,37.291904
Acevedo Domingo, FF, CH,42.0,41.736633
Adam Jason, SL, CH,38.5,38.273685
Adam Jason, SL, FF,27.2,27.077944
Adon Joan, FF, CU,24.0,23.808107
Adon Joan, FF, CH,30.5,30.597591
Akin Keegan, FF, SL,37.6,36.872646
Akin Keegan, FF, CH,32.0,32.48468
Alcantara Sandy, CH, FF,27.5,27.005335
Alcantara Sandy, CH, SI,35.4,35.322678
Alcantara Sandy, CH, SL,28.6,28.463
Alexander Jason, SI, SL,20.7,21.455242
Alexander Jason, SI, CH,31.8,32.05812
Alexander Tyler, FC, FF,28.0,27.645046
Alexander Tyler, FC, SI,18.3,18.345581
Alexander Tyler, FC, CH,35.1,35.576214
Alexander Tyler, FC, SL,35.4,34.9813
Allard Kolby, FF, FC,22.2,22.23172
Almonte Yency, SL, SI,26.4,26.716366
Alvarado José, SI, FC,42.7,42.39815
Anderson Ian, FF, CH,39.6,39.234215
Anderson Ian, FF, CU,24.1,25.661438
Anderson Tyler, FF, CH,45.0,44.612595
Anderson Tyler, FF, FC,41.8,41.007225
Anderson Tyler, FF, SI,17.9,17.998974
Arano Víctor, SL, SI,38.5,37.969482
Archer Chris, SL, FF,13.2,13.346653
Archer Chris, SL, CH,36.2,35.286552
Archer Chris, SL, CU,6.3,6.575603
Armstrong Shawn, SI, FF,34.5,34.0855
Armstrong Shawn, SI, FC,29.0,29.852657
Armstrong Shawn, SI, SL,40.0,39.539635
Ashby Aaron, SI, SL,34.7,34.781178
Ashby Aaron, SI, CH,32.1,31.582106
Ashby Aaron, SI, CU,24.5,24.79172
Ashby Aaron, SI, FF,23.1,23.087473
Ashcraft Graham, FC, SL,30.5,30.64906
Ashcraft Graham, FC, SI,20.1,20.01372
Baker Bryan, FF, FC,23.4,24.0341
Baker Bryan, FF, CH,12.2,12.593718
Banda Anthony, CH, FF,28.2,27.742607
Banda Anthony, CH, SI,29.0,28.78308
Banks Tanner, FF, SL,32.0,32.60597
Banks Tanner, FF, CH,36.8,35.891598
Bard Daniel, SI, SL,29.4,29.454817
Bard Luke, FF, SL,26.9,27.355654
Barlow Joe, SL, FF,31.7,30.948418
Barlow Scott, SL, CU,47.7,47.44606
Barlow Scott, SL, FF,24.7,25.041862
Barnes Jacob, FF, FC,26.1,26.314896
Barnes Matt, KC, FF,25.7,25.67248
Barraclough Kyle, FF, SL,40.5,39.905155
Barría Jaime, SL, FF,26.0,25.704096
Barría Jaime, SL, SI,35.2,34.856148
Barría Jaime, SL, CH,31.7,31.640556
Bass Anthony, SL, SI,28.6,28.192219
Bass Anthony, SL, FF,14.3,14.453387
Bassitt Chris, SI, SL,26.8,26.769861
Bassitt Chris, SI, FC,28.3,28.060686
Bassitt Chris, SI, FF,26.3,26.146132
